ID,Response,RT,Type,characterlist
sub-21,0,3.509593312,affiliation,Olivia
sub-21,0,3.611067112,affiliation,Olivia
sub-21,0,2.765250884,affiliation,Newcomb
sub-21,0,2.021175387,affiliation,Olivia
sub-21,0,1.915120733,affiliation,Peter
sub-21,0,3.333734847,affiliation,Anthony
sub-21,0,3.836651699,affiliation,Anthony
sub-22,0,3.999345542,affiliation,Olivia
sub-22,0,3.045503527,affiliation,Olivia
sub-22,0,2.931187397,affiliation,Olivia
sub-22,0,4.804262017,affiliation,Newcomb
sub-22,0,2.589721058,affiliation,Peter
sub-22,0,5.673256853,affiliation,Anthony
sub-22,0,6.226411828,affiliation,Peter
sub-22,0,3.559544757,affiliation,Newcomb
sub-22,0,4.469171003,affiliation,Anthony
sub-23,0,3.264863969,affiliation,Olivia
sub-23,0,2.23587353,affiliation,Olivia
sub-23,0,3.086192737,affiliation,Olivia
sub-23,0,3.90299284,affiliation,Olivia
sub-23,0,2.586364638,affiliation,Newcomb
sub-23,0,3.225873301,affiliation,Olivia
sub-23,0,4.745422233,affiliation,Newcomb
sub-23,0,4.380113437,affiliation,Newcomb
sub-23,0,2.74889904,affiliation,Peter
sub-23,0,4.80863701,affiliation,Peter
sub-23,0,3.968228468,affiliation,Anthony
sub-23,0,2.459502069,affiliation,Anthony
sub-23,0,3.357444723,affiliation,Hayworth
sub-23,0,3.86964934,affiliation,Hayworth
sub-23,0,3.652376024,affiliation,Hayworth
sub-23,0,3.782440712,affiliation,Anthony
sub-23,0,3.129034692,affiliation,Hayworth
sub-23,0,2.891168169,affiliation,Newcomb
sub-23,0,3.529796698,affiliation,Newcomb
sub-23,0,3.478464774,affiliation,Anthony
sub-24,0,4.315371826,affiliation,Olivia
sub-24,0,5.04088105,affiliation,Olivia
sub-24,0,3.845416415,affiliation,Peter
sub-24,0,3.659158267,affiliation,Hayworth
sub-24,0,4.68699071,affiliation,Anthony
sub-24,0,2.975688794,affiliation,Anthony
sub-24,0,4.285825662,affiliation,Hayworth
sub-24,0,3.487756243,affiliation,Hayworth
sub-24,0,3.307308172,affiliation,Hayworth
sub-24,0,3.448834688,affiliation,Newcomb
sub-24,0,6.697024086,affiliation,Newcomb
sub-25,0,1.632912249,affiliation,Olivia
sub-25,0,5.254060477,affiliation,Olivia
sub-25,0,3.227855011,affiliation,Olivia
sub-25,0,3.323773288,affiliation,Newcomb
sub-25,0,2.911775129,affiliation,Olivia
sub-25,0,3.160384141,affiliation,Peter
sub-25,0,4.81830719,affiliation,Anthony
sub-25,0,4.512921488,affiliation,Newcomb
sub-25,0,3.33933923,affiliation,Anthony
sub-26,0,2.646069462,affiliation,Olivia
sub-26,0,3.986357586,affiliation,Peter
sub-26,0,3.016300444,affiliation,Olivia
sub-26,0,1.921007005,affiliation,Newcomb
sub-26,0,3.961334445,affiliation,Olivia
sub-26,0,3.879587861,affiliation,Newcomb
sub-26,0,3.789349544,affiliation,Peter
sub-26,0,3.721907942,affiliation,Anthony
sub-26,0,2.511390776,affiliation,Hayworth
sub-26,0,11.988,affiliation,Hayworth
sub-26,0,4.987984915,affiliation,Peter
sub-26,0,5.179609899,affiliation,Anthony
sub-27,0,3.412208879,affiliation,Olivia
sub-27,0,5.95170025,affiliation,Olivia
sub-27,0,2.740842882,affiliation,Olivia
sub-27,0,4.870425144,affiliation,Olivia
sub-27,0,4.656492601,affiliation,Olivia
sub-27,0,2.761701251,affiliation,Anthony
sub-27,0,3.838176884,affiliation,Anthony
sub-27,0,2.13957614,affiliation,Anthony
sub-27,0,2.919828938,affiliation,Hayworth
sub-27,0,3.406515168,affiliation,Hayworth
sub-27,0,4.139144536,affiliation,Peter
sub-27,0,3.070050241,affiliation,Peter
sub-27,0,2.710407428,affiliation,Hayworth
sub-27,0,4.662569254,affiliation,Newcomb
sub-28,0,1.991765387,affiliation,Olivia
sub-28,0,1.296309201,affiliation,Olivia
sub-28,0,2.042433435,affiliation,Olivia
sub-28,0,2.379570835,affiliation,Peter
sub-28,0,2.28919052,affiliation,Olivia
sub-28,0,2.385918896,affiliation,Olivia
sub-28,0,2.123256105,affiliation,Peter
sub-28,0,3.013988932,affiliation,Peter
sub-28,0,3.522680407,affiliation,Anthony
sub-28,0,4.265415068,affiliation,Anthony
sub-28,0,3.235274223,affiliation,Anthony
sub-28,0,1.616080539,affiliation,Anthony
sub-28,0,2.767219848,affiliation,Hayworth
sub-28,0,2.945622842,affiliation,Hayworth
sub-28,0,3.082026598,affiliation,Hayworth
sub-28,0,2.818479861,affiliation,Peter
sub-28,0,3.151543729,affiliation,Peter
